Entity,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ethiopia,ETH,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,2.60604,3.228999885,3.116688451,4.851623621,5.467563571
Fiji,FJI,13,4.185711803,5.294206892,11.5,11.5,12.1,13.3,13.7,12.6,13.5,12.6,11.8,0.1,-0.1,9.9,5.467563571
Finland,FIN,4.712055818,4.185711803,5.294206892,2.43096,2.51347,2.46268,2.44454,2.45168,2.45966,2.67135,2.69921,2.72993,1.42479,1.50954,1.76731,5.467563571
France,FRA,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,3.90442,2.83936,3.02301,3.5561,5.467563571
French Polynesia,PYF,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,7.3,7.3,3.228999885,3.116688451,8,5.467563571
Germany,DEU,4.712055818,4.185711803,4.20699,5.381938767,5.498256203,5.583480988,5.451857326,4.05767,3.99537,3.9861,3.97426,3.85284,2.35015,2.16005,4.851623621,5.467563571
Greece,GRC,5.38938,4.97559,5.14477,4.94311,5.15725,6.58306,6.5154,6.5367,6.22253,6.68551,6.9626,7.23507,4.32655,5.24736,6.38193,7.14452
Guam,GUM,4.712055818,4.185711803,12,5.381938767,5.498256203,5.583480988,5.451857326,11.2,12.1,5.542608316,5.345202396,22,10.7,6.3,4.851623621,5.467563571
Guinea,GIN,4.712055818,4.185711803,5.294206892,1.67929,1.64244,1.42904,1.24268,1.06877,1.00476,0.9236,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Guyana,GUY,1.8,3.6,4.1,5.2,5.3,3.7,1.7,0.7,3.8,3.7,4.4,5.4,43.5,20,63.4,33
Honduras,HND,6.01026,6.15837,6.11338,6.1221,6.41284,6.52312,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Hong Kong,HKG,2.75619,3.22415,4.29704,4.53393,4.69859,5.04638,5.09956,5.004,4.65011,4.47827,4.46233,3.59847,0.35806,0.08267,0.40542,5.467563571
Hungary,HUN,2.39971,2.37601,2.44332,2.45379,2.56138,2.5767,2.81388,2.72914,2.75277,2.68701,3.04249,3.37803,1.52213,1.6435,4.851623621,5.467563571
Iceland,ISL,4.712055818,3.51117,3.42677,3.68263,4.16666,4.67865,5.47964,6.5,8.1984,7.9837,8.08922,8.1,2.8,3.9,6.1,5.467563571
India,IND,4.712055818,3.68213,3.67259,3.04754,3.10496,3.06495,3.13708,2.64705,2.62134,2.61394,2.60518,2.69189,0.77549,0.90541,2.5962,5.467563571
Indonesia,IDN,4.7,4.17,4.06,4,3.96,4.02,4.13,4.31,4.65054,4.67497,4.91219,4.96633,2.2414,3.116688451,4.851623621,5.467563571
Ireland,IRL,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,4.76468,3.228999885,3.116688451,4.851623621,5.467563571
Israel,ISR,2.6838,2.52894,2.76008,2.69689,2.74042,2.61832,2.52843,2.59238,2.5233,2.55346,2.64084,2.58317,0.7,1.06784,1.86797,1.87597
Italy,ITA,4.712055818,4.185711803,5.14858,5.381938767,5.498256203,5.583480988,5.451857326,5.41026,5.617688878,5.49858,5.345202396,5.7128,3.228999885,3.116688451,4.851623621,5.467563571
Jamaica,JAM,7.05903,7.2,6.9,6.5,6.4,6.9,7.5,7.8,8.4,9,9.2,9.8,3.228999885,3.116688451,4.851623621,5.467563571
Japan,JPN,1.9,1.8,1.7,1.7,1.7,1.8,1.7,1.8,2,2,1.9,2,0.8,0.6,1.2,5.467563571
Jordan,JOR,6.52815,4.185711803,7,5.381938767,6.5,5.583480988,5.451857326,5.426665914,6,5.542608316,5.9,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Kazakhstan,KAZ,1.5,1.4,1.3,1.4,1.5,1,0.9,1,1.3,1.3,1.4,1.3,0.6,0.7,1,5.467563571
Kenya,KEN,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,4.4,3.228999885,3.116688451,4.851623621,5.467563571
Kiribati,KIR,0.57,0.61,0.52,0.58,0.51,0.53,0.5,0.51,0.6,0.76,0.69,0.72,3.228999885,3.116688451,4.851623621,5.467563571
Kuwait,KWT,4.712055818,4.185711803,0.72516,0.7041,0.67374,0.72353,0.75628,0.75995,0.71703,0.67344,0.65095,0.63484,0.52313,0.39951,0.46999,0.59416
Kyrgyzstan,KGZ,4.2,4,3.7,4.5,4.6,4.6,4.3,4.7,4.6,5,5,4.4,2.9,3.2,3.6,5.467563571
Latvia,LVA,4.2,3.1,3.1,3.4,4.4,4.2,4.3,4.2,4.5,4.6,4.9,4.8,3.5,2.6,4.851623621,5.467563571
Lebanon,LBN,2.2,2.9,2.9,2.8,2.6,2.6,2.8,3,3,3.1,3,3,2,3.116688451,4.851623621,9.1
Lithuania,LTU,4.712055818,2.84,2.76,2.74,2.88,2.98,3.07,3.06,3.07,3.02,2.9,2.89,1.65,1.77,2.17,2.74
Luxembourg,LUX,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,1.22728,1.16862,1.223,1.24989,1.25069,1.24847,0.75275,0.73459,0.79521,5.467563571
Macao,MAC,4.712055818,4.185711803,54.97003,58.82189,58.78054,59.65649,56.2537,47.8616,46.97152,49.98982,52.27629,52.58599,21.49786,28.00115,16.64292,5.467563571
Malawi,MWI,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,4.5,3.5,3.4,3.4,3.5,3.4,2.7,1.6,3.116688451,4.851623621,5.467563571
Malaysia,MYS,4.8609,5.41632,5.56932,5.59573,5.64891,5.9618,6.27953,6.36879,6.56906,6.4049,6.53253,6.76074,1.99866,0.7529,2.67476,4.45398
Malta,MLT,4.712055818,4.185711803,5.9,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Marshall Islands,MHL,2.6,2.5,2.3,2.2,2.1,1.9,2.1,2.2,2.3,2.3,2.3,2.5,2,1.8,4.851623621,5.467563571
Martinique,MTQ,4.66594,4.86705,5.20199,5.22271,5.1136,5.18047,4.7,5,5.2,5.64481,5.3,5.4,3.228999885,3.116688451,4.851623621,5.467563571
Mauritius,MUS,4.712055818,4.185711803,9.6,10,9.9,9,9.1,9.2,9.2,9.1,9.3,9.2,2.7,2.3,8.6,5.467563571
Mexico,MEX,8.87931,9.15453,8.86699,8.60889,8.64592,8.99466,8.91677,8.83817,8.4518,8.48726,8.53957,8.61168,6.76612,7.62444,8.4629,5.467563571
Micronesia (country),FSM,1.9007,1.67777,1.70253,1.62598,1.6569,1.66103,1.6353,1.69541,1.71714,1.78008,1.78827,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Moldova,MDA,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,0.47593,0.50265,0.44885,0.50052,0.56154,0.67554,0.1796,0.58281,0.7411,0.51553
